UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;2000;0;0;
SKM;50%;0;0;4000;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;4000;0;0;
SEM;25%;0;0;2000;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;4000;0;0;
SEM;25%;0;0;2000;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;0;4000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;2000;0;0;
SKM;50%;0;0;4000;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;2000;0;0;
SKM;50%;0;0;4000;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;2000;0;0;
SKM;50%;0;0;4000;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;0;4000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;4000;0;0;
SEM;25%;0;0;2000;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;0;4000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;0;4000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;2000;0;0;
SKM;50%;0;0;4000;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;2000;0;0;
SKM;50%;0;0;4000;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;2000;0;0;
SKM;50%;0;0;4000;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;0;4000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;0;4000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;0;4000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;0;4000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;2000;0;0;
SKM;50%;0;0;4000;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;2000;0;0;
SKM;50%;0;0;4000;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;0;4000;0;
SEM;25%;2000;0;0;

UG;UGM;C1;C2;C3
CR;25%;0;0;2000;
SKM;50%;4000;0;0;
SEM;25%;0;2000;0;

UG;UGM;C1;C2;C3
CR;25%;0;2000;0;
SKM;50%;0;0;4000;
SEM;25%;2000;0;0;

